date,close,high,low,open,volume
2025-02-21T00:00:00.000Z,145.38,147.14,144.85,146.59,203975.0
2025-02-24T00:00:00.000Z,143.7,145.42,143.57,145.36,224904.0
2025-02-25T00:00:00.000Z,144.0,144.67,143.1,144.44,671421.0
2025-02-26T00:00:00.000Z,145.5,147.53,144.946,146.46,172943.0
2025-02-27T00:00:00.000Z,143.16,145.02,143.0,143.92,703164.0
2025-02-28T00:00:00.000Z,143.68,144.66,141.73,143.42,759707.0
2025-03-03T00:00:00.000Z,143.44,146.24,141.39,145.86,504918.0
2025-03-04T00:00:00.000Z,142.99,145.63,139.0,140.7401,343745.0
2025-03-05T00:00:00.000Z,145.1,145.55,142.76,143.98,281007.0
2025-03-06T00:00:00.000Z,139.65,142.75,139.65,140.53,194555.0
2025-03-07T00:00:00.000Z,138.56,138.81,136.32,137.04,374016.0
2025-03-10T00:00:00.000Z,135.78,136.9,134.06,135.86,222196.0
2025-03-11T00:00:00.000Z,136.84,137.99,134.55,136.14,240490.0
2025-03-12T00:00:00.000Z,133.49,135.19,132.11,134.99,351805.0
2025-03-13T00:00:00.000Z,129.76,132.42,129.59,130.0,385315.0
2025-03-14T00:00:00.000Z,132.17,132.59,130.554,131.65,384924.0
2025-03-17T00:00:00.000Z,133.75,134.33,131.82,132.19,396890.0
2025-03-18T00:00:00.000Z,133.66,133.88,132.81,133.84,326410.0
2025-03-19T00:00:00.000Z,133.56,133.78,132.0,132.8,288560.0
2025-03-20T00:00:00.000Z,130.51,132.29,130.21,131.1,378534.0
2025-03-21T00:00:00.000Z,129.89,130.38,128.57,128.68,735050.0
2025-03-24T00:00:00.000Z,128.99,129.955,128.2601,128.9,395107.0
2025-03-25T00:00:00.000Z,129.12,129.81,128.73,129.43,333411.0
2025-03-26T00:00:00.000Z,126.82,129.4,126.39,127.85,196649.0
2025-03-27T00:00:00.000Z,126.92,127.74,126.44,126.82,295956.0
2025-03-28T00:00:00.000Z,126.48,127.13,125.6775,126.44,289776.0
2025-03-31T00:00:00.000Z,123.87,126.48,123.0,124.42,321789.0
2025-04-01T00:00:00.000Z,123.82,124.51,122.85,123.87,338294.0
2025-04-02T00:00:00.000Z,124.7,125.05,123.91,124.17,183371.0
2025-04-03T00:00:00.000Z,120.34,121.39,120.0,121.0,1543733.0
2025-04-04T00:00:00.000Z,114.7,117.925,114.24,116.15,661708.0
2025-04-07T00:00:00.000Z,111.17,118.0,110.0,111.67,879881.0
2025-04-08T00:00:00.000Z,106.82,115.01,106.48,114.81,1112042.0
2025-04-09T00:00:00.000Z,117.82,120.0,109.22,112.35,1239581.0
2025-04-10T00:00:00.000Z,118.06,118.79,114.63,116.89,595788.0
2025-04-11T00:00:00.000Z,121.25,121.86,117.98,118.42,634591.0
2025-04-14T00:00:00.000Z,113.71,121.28,109.9,120.88,652507.0
2025-04-15T00:00:00.000Z,108.61,111.13,108.51,109.8,1346121.0
2025-04-16T00:00:00.000Z,108.93,110.43,108.01,109.71,720965.0
2025-04-17T00:00:00.000Z,109.54,110.98,109.12,109.86,429239.0
2025-04-21T00:00:00.000Z,108.22,111.2,107.13,110.5,511638.0
2025-04-22T00:00:00.000Z,111.4,112.15,108.32,108.76,552057.0
2025-04-23T00:00:00.000Z,111.83,115.3,110.0,113.23,385007.0
2025-04-24T00:00:00.000Z,114.26,114.67,112.86,113.49,331600.0
2025-04-25T00:00:00.000Z,114.52,115.8365,113.03,113.56,746576.0
2025-04-28T00:00:00.000Z,114.15,114.71,113.48,114.5,314408.0
2025-04-29T00:00:00.000Z,112.0,112.49,111.39,112.16,350618.0
2025-04-30T00:00:00.000Z,110.37,111.4,109.75,110.43,306688.0
2025-05-01T00:00:00.000Z,110.5,112.6,110.37,112.57,511415.0
2025-05-02T00:00:00.000Z,112.47,112.99,111.69,111.78,247622.0
2025-05-05T00:00:00.000Z,110.85,111.98,110.81,111.84,474578.0
2025-05-06T00:00:00.000Z,110.75,111.609,110.32,110.71,289128.0
2025-05-07T00:00:00.000Z,110.17,110.85,109.3436,110.14,520476.0
2025-05-08T00:00:00.000Z,109.799,111.05,109.21,110.93,452018.0
2025-05-09T00:00:00.000Z,112.11,112.24,111.24,111.78,348329.0
2025-05-12T00:00:00.000Z,118.11,118.5,116.79,118.43,572783.0
2025-05-13T00:00:00.000Z,119.93,120.3,119.285,120.11,357455.0
